"Ticker","Nome","Negócios","Última (R$)","Variação"
"SYNE3","SYN","109.900","9,32","+0,22%"
"BLAU3","Blau Farmacêutica","99.600","10,52","+0,48%"
"TAEE3","Taesa","98.800","11,74","+0,00%"
"EUCA4","Eucatex","96.800","14,20","+2,75%"
"PINE4","Banco Pine","95.700","4,51","+1,35%"
"LPSB3","Lopes","89.400","2,32","+0,43%"
"PDTC3","Padtec","86.900","1,89","-4,55%"
"UNIP6","Unipar","80.000","50,80","+0,59%"
"FRAS3","Fras-le","78.500","17,90","+0,56%"
"INEP3","Inepar","75.800","1,97","-1,50%"
"DEXP3","Dexxos","74.400","10,58","-4,17%"
"TGMA3","Tegma","71.800","24,85","+1,55%"
"SANB3","Banco Santander","70.900","13,02","-1,74%"
"BIOM3","Biomm","69.600","13,89","+5,95%"
"WEST3","Westwing","68.900","1,09","-1,80%"
"INEP4","Inepar","65.300","1,92","-1,54%"
"IGTI3","Jereissati Participações","63.600","2,92","+0,69%"
"IGTI3","Iguatemi","63.600","2,92","+0,69%"
"CTNM4","Coteminas","63.000","0,89","-2,20%"
"VIVR3","Viver","61.500","2,71","-0,73%"
"GGBR3","Gerdau","56.100","16,33","-0,43%"
"AALR3","Alliança","54.100","9,94","-2,55%"
"DMVF3","D1000 Varejo Farma","54.000","7,27","-6,07%"
"SANB4","Banco Santander","52.700","14,62","-1,08%"
"TCSA3","Tecnisa","52.500","2,32","+3,57%"
"SHOW3","Time For Fun","49.900","1,94","+0,52%"
"JFEN3","João Fortes","44.400","1,39","-2,80%"
"GOAU3","Metalúrgica Gerdau","44.200","10,95","-0,09%"
"LVTC3","WDC Networks","42.600","3,85","-2,53%"
"ALPK3","Estapar","41.300","3,64","-0,82%"
"LAND3","Terra Santa","38.800","14,77","-0,27%"
"ELMD3","Eletromidia","38.700","18,80","+0,11%"
"NINJ3","GetNinjas","37.900","4,71","-2,28%"
"BRAP3","Bradespar","37.100","19,35","-0,10%"
"PMAM3","Paranapanema","30.600","2,63","+1,15%"
"CSUD3","CSU Cardsystem","28.200","18,85","-1,00%"
"RNEW3","Renova Energia","28.000","1,01","+2,02%"
"LOGN3","Log-In","27.000","37,55","-1,83%"
"RAPT3","Randon","26.400","8,69","+2,24%"
"COCE5","Coelce","25.000","32,70","-1,21%"
"AZEV11","Azevedo & Travassos","21.600","0,20","+0,00%"
"TELB4","Telebras","19.100","9,26","-0,11%"
"EALT4","Electro Aço Altona","18.000","11,37","-2,32%"
"OIBR4","Oi","17.100","1,74","-2,25%"
"CAMB3","Cambuci","16.000","10,24","+0,20%"
"WHRL4","Whirlpool","15.800","4,89","-0,41%"
"CTSA4","Santanense","15.700","1,16","-1,69%"
"BAHI3","Bahema","12.500","7,15","-6,78%"
"ATMP3","Atma","10.300","2,28","+3,64%"
"NUTR3","Nutriplant","10.200","5,17","+4,66%"
"TASA3","Taurus","9.500","12,05","-1,23%"
"CEBR3","CEB","8.700","24,39","+5,72%"
"UCAS3","Unicasa","8.300","2,32","-0,85%"
"EQPA3","Equatorial Energia Pará","7.900","7,65","+13,17%"
"BEES3","Banestes","7.800","9,03","-0,11%"
"ENGI4","Energisa","7.600","7,91","-0,75%"
"BRSR3","Banrisul","7.300","11,61","-1,44%"
"HAGA4","Haga","6.600","1,29","+1,57%"
"DOTZ3","Dotz","6.400","8,44","+0,84%"
"NORD3","Nordon","6.300","8,25","-11,19%"
"VSTE3","LE LIS BLANC","6.200","13,35","+4,30%"
"BPAC5","Banco BTG Pactual","6.200","7,84","-0,38%"
"BOBR4","Bombril","6.100","2,11","-2,31%"
