index;Publishing Year;Book Name;Author;language_code;Author_Rating;Book_average_rating;Book_ratings_count;genre;gross sales;publisher revenue;sale price;sales rank;Publisher ;units sold
1019;20100;Heist Society;Ally Carter;en-US;Intermediate;391;75834;genre fiction;85493;512958;799;1201;Random House LLC;107
1020;20160;Behind Closed Doors;B.A. Paris;eng;Intermediate;393;57865;fiction;91913;551478;859;1201;Penguin Group (USA) LLC;107
1021;19740;The Killer Angels;Michael Shaara;en-US;Excellent;43;58372;nonfiction;10593;63558;99;1203;Amazon Digital Services,  Inc.;107
1022;19950;Circus of the Damned (Anita Blake, Vampire Hunter, #3);Laurell K. Hamilton;en-US;Excellent;416;73883;fiction;42693;256158;399;1206;Penguin Group (USA) LLC;107
1023;20060;Ptolemy's Gate;Jonathan Stroud;eng;Excellent;424;63838;genre fiction;127223;763338;1189;1207;HarperCollins Publishers;107
1024;18960;The Island of Dr. Moreau;H.G. Wells;eng;Intermediate;372;60346;genre fiction;64093;0;599;1212;Amazon Digital Services,  Inc.;107
1025;20120;Opal;Jennifer L. Armentrout;;Excellent;434;92014;genre fiction;10593;0;99;1213;Amazon Digital Services,  Inc.;107
1026;20080;Zeitoun;Dave Eggers;;Excellent;408;55398;genre fiction;40874;0;382;1214;Amazon Digital Services,  Inc.;107
1027;20100;Out of My Mind;Sharon M. Draper;en-US;Excellent;437;63756;nonfiction;31993;0;299;1215;Amazon Digital Services,  Inc.;107
1028;20120;Rapture;Lauren Kate;eng;Excellent;403;79360;nonfiction;128293;769758;1199;1216;Random House LLC;107
1029;20100;Switched;Amanda Hocking;eng;Intermediate;389;45319;genre fiction;64093;384558;599;1217;Macmillan;107
1030;19570;Ð”Ð¾ÐºÑ‚Ð¾Ñ€ Ð–Ð¸Ð²Ð°Ð³Ð¾;Boris Pasternak, Max Hayward, Manya Harari, John Bayley;eng;Excellent;403;59973;fiction;85493;512958;799;1217;HarperCollins Publishers;107
1031;20150;;Colleen Hoover;en-GB;Excellent;425;72611;nonfiction;117593;705558;1099;1218;Amazon Digital Services,  Inc.;107
1032;20120;Pines;Blake Crouch;;Intermediate;388;34789;genre fiction;10593;0;99;1218;Amazon Digital Services,  Inc.;107
1033;19940;Disclosure;Michael Crichton;;Intermediate;376;57818;genre fiction;85493;512958;799;1219;Random House LLC;107
1034;20120;Death Comes to Pemberley;P.D. James;eng;Novice;321;65906;genre fiction;42693;256158;399;1220;Amazon Digital Services,  Inc.;107
1035;19110;Ethan Frome;Edith Wharton;eng;Novice;335;72421;nonfiction;40553;243318;379;1222;HarperCollins Publishers;107
1036;19920;A Map of the World;Jane Hamilton, Frank  Muller, C.J. Critt;en-GB;Intermediate;378;61347;genre fiction;32421;194526;303;1223;Amazon Digital Services,  Inc.;107
1037;20160;It Ends with Us;Colleen Hoover;eng;Famous;444;80433;fiction;74793;448758;699;1223;Penguin Group (USA) LLC;107
1038;19050;The Gift of the Magi;O. Henry, Lisbeth Zwerger;eng;Excellent;407;66537;nonfiction;95123;570738;889;1224;Simon and Schuster Digital Sales Inc;107
1039;19680;The Electric Kool-Aid Acid Test;Tom Wolfe;en-US;Intermediate;392;54848;genre fiction;31993;0;299;1225;Amazon Digital Services,  Inc.;107
1040;19590;The Naked Lunch;William S. Burroughs, James Grauerholz, Barry  Miles;en-US;Novice;346;55473;genre fiction;52965;31779;495;1226;Amazon Digital Services,  Inc.;107
1041;19910;The Sandman: Dream Country;Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson;eng;Excellent;428;67753;genre fiction;42693;0;399;1230;Amazon Digital Services,  Inc.;107
1042;20010;A Painted House;John Grisham;eng;Intermediate;367;59974;nonfiction;10593;0;99;1232;Amazon Digital Services,  Inc.;107
1043;19690;The Left Hand of Darkness;Ursula K. Le Guin, Lech JÄ™czmyk;eng;Excellent;405;61888;genre fiction;82283;493698;769;1233;Random House LLC;107
1044;20080;Let It Snow: Three Holiday Romances;John Green, Maureen Johnson, Lauren Myracle;eng;Intermediate;384;57632;fiction;114918;689508;1074;1235;Penguin Group (USA) LLC;107
1045;20100;Full Dark, No Stars;Stephen King;en-US;Excellent;403;60672;genre fiction;64093;384558;599;1236;Random House LLC;107
1046;20140;Being Mortal: Medicine and What Matters in the End;Atul Gawande;eng;Famous;44;56510;genre fiction;31993;0;299;1237;Amazon Digital Services,  Inc.;107
1047;19870;Intensity;Dean Koontz;eng;Excellent;404;58062;genre fiction;10494;0;99;1238;Amazon Digital Services,  Inc.;106
1048;20100;Chelsea Chelsea Bang Bang;Chelsea Handler;en-US;Intermediate;381;55355;children;4770;2862;45;1241;Amazon Digital Services,  Inc.;106
1049;18790;Et dukkehjem;Henrik Ibsen, Michael   Meyer;eng;Intermediate;369;69450;genre fiction;158894;953364;1499;1243;Hachette Book Group;106
1050;19590;Hawaii;James A. Michener;en-GB;Excellent;418;59963;genre fiction;2120;0;20;1243;Amazon Digital Services,  Inc.;106
1051;19610;Revolutionary Road;Richard Yates;eng;Intermediate;389;56550;genre fiction;73564;441384;694;1244;Penguin Group (USA) LLC;106
1052;20060;Nick & Norah's Infinite Playlist;Rachel Cohn, David Levithan;en-US;Intermediate;373;60372;genre fiction;84694;508164;799;1247;Random House LLC;106
1053;19660;Rosencrantz and Guildenstern are Dead;Tom Stoppard, Henry Popkin;eng;Excellent;406;67077;nonfiction;133454;800724;1259;1248;Random House LLC;106
1054;20110;Forever;Maggie Stiefvater;eng;Intermediate;391;85034;genre fiction;82786;496716;781;1249;Penguin Group (USA) LLC;106
1055;19960;The Beach;Alex Garland;eng;Intermediate;391;52333;fiction;58936;353616;556;1251;Hachette Book Group;106
1056;20100;Saving CeeCee Honeycutt;Beth Hoffman, Jenna Lamia;eng;Intermediate;392;54341;genre fiction;31694;0;299;1253;Amazon Digital Services,  Inc.;106
1057;20120;Deadlocked;Charlaine Harris;eng;Intermediate;365;65932;nonfiction;105894;635364;999;1255;Amazon Digital Services,  Inc.;106
1058;20020;Everything's Eventual: 14 Dark Tales;Stephen King;eng;Intermediate;394;60932;fiction;31694;190164;299;1255;Amazon Digital Services,  Inc.;106
1059;19550;Beezus and Ramona;Beverly Cleary;;Intermediate;397;75987;genre fiction;74094;444564;699;1257;Random House LLC;106
1060;19720;The Farthest Shore;Ursula K. Le Guin;;Excellent;411;65626;nonfiction;21094;0;199;1258;Amazon Digital Services,  Inc.;106
1061;19960;Airframe;Michael Crichton;eng;Intermediate;366;59229;genre fiction;10494;0;99;1263;Amazon Digital Services,  Inc.;106
1062;19820;Magician;Raymond E. Feist;en-US;Excellent;417;62432;genre fiction;81514;489084;769;1265;Random House LLC;106
1063;20040;Bet Me;Jennifer Crusie;eng;Intermediate;395;70737;genre fiction;84694;508164;799;1266;Random House LLC;106
1064;19940;Long Walk to Freedom: The Autobiography of Nelson Mandela;Nelson Mandela;eng;Excellent;431;43927;genre fiction;31694;0;299;1266;Amazon Digital Services,  Inc.;106
1065;20140;Gray Mountain;John Grisham;eng;Intermediate;352;37379;nonfiction;10494;62964;99;1268;Amazon Digital Services,  Inc.;106
1066;19890;The Power of One;Bryce Courtenay;eng;Excellent;434;57312;genre fiction;84694;508164;799;1270;Random House LLC;106
1067;19300;The Maltese Falcon;Dashiell Hammett;eng;Intermediate;392;58742;genre fiction;84694;508164;799;1271;Hachette Book Group;106
1068;20110;Night Road;Kristin Hannah;en-US;Excellent;417;58028;genre fiction;10494;62964;99;1272;Amazon Digital Services,  Inc.;106
1069;19990;Tripwire;Lee Child;eng;Excellent;407;55251;genre fiction;31694;0;299;1273;Amazon Digital Services,  Inc.;106
